Age,Income,EmploymentStatus,YearsAtJob,Dependents,DebtToIncome,ExistingLoan,CreditScore,Approved
35,63516,Unemployed,8,2,0.14,Yes,825,1
21,123602,Employed,3,0,0.55,No,540,1
42,117008,Employed,4,1,0.36,No,406,1
31,54629,Unemployed,6,0,0.55,No,839,1
26,66910,Employed,25,2,0.55,No,520,1
43,108540,Unemployed,6,0,0.2,No,366,1
19,144746,Employed,10,1,0.29,No,541,1
37,40431,Employed,9,0,0.17,No,823,1
45,76733,Employed,10,2,0.49,No,695,1
64,60088,Employed,23,1,0.35,No,502,1
24,64135,Self-Employed,23,0,0.56,Yes,519,0
61,135786,Employed,17,2,0.2,Yes,718,1
25,58015,Employed,11,2,0.44,No,525,1
64,120038,Employed,24,4,0.59,No,513,1
52,51385,Employed,15,1,0.43,No,658,1
31,90199,Employed,26,1,0.13,No,800,1
34,58677,Self-Employed,3,0,0.39,Yes,770,1
53,138104,Employed,16,4,0.19,No,318,1
57,32818,Employed,16,1,0.12,Yes,650,1
21,108222,Employed,20,2,0.27,Yes,614,1
19,83001,Employed,22,1,0.23,No,513,1
23,43977,Employed,4,4,0.49,No,791,1
59,69832,Employed,12,3,0.29,No,521,1
21,60931,Unemployed,2,2,0.47,No,568,0
46,103990,Unemployed,26,1,0.11,No,383,1
35,98894,Unemployed,22,2,0.11,No,343,1
43,92204,Employed,16,0,0.11,No,460,1
61,65784,Employed,10,2,0.21,No,676,1
51,126305,Employed,0,1,0.29,No,607,1
27,29921,Self-Employed,27,0,0.4,Yes,416,0
53,54959,Unemployed,17,0,0.59,No,638,1
31,52328,Employed,16,0,0.28,No,624,1
48,28859,Employed,8,3,0.13,No,304,1
32,144492,Self-Employed,19,3,0.2,Yes,720,1
25,109506,Unemployed,6,0,0.55,No,370,1
31,94408,Unemployed,4,1,0.45,No,403,0
40,143852,Self-Employed,29,0,0.5,No,355,1
57,104766,Unemployed,15,0,0.16,Yes,606,1
38,46708,Employed,6,2,0.17,No,795,1
33,38847,Unemployed,12,2,0.16,No,469,1
62,75989,Unemployed,12,2,0.53,No,440,0
35,112641,Unemployed,14,4,0.2,No,333,1
64,145383,Employed,22,2,0.42,No,655,1
41,24922,Employed,16,2,0.36,Yes,717,1
43,89928,Employed,16,1,0.37,Yes,352,0
42,72335,Employed,26,3,0.2,No,302,1
62,146913,Unemployed,18,3,0.42,No,629,1
58,33541,Employed,9,3,0.12,No,448,1
46,39551,Employed,1,4,0.6,Yes,805,0
32,39381,Self-Employed,13,0,0.11,No,600,1
62,133319,Employed,22,2,0.13,No,432,1
18,75673,Employed,2,1,0.26,No,558,1
42,121531,Employed,6,4,0.52,Yes,575,1
24,42948,Self-Employed,24,3,0.23,No,360,1
26,112264,Employed,27,4,0.34,No,446,1
41,79072,Unemployed,10,1,0.11,Yes,795,1
18,87560,Employed,16,4,0.14,No,715,1
61,102249,Unemployed,14,3,0.4,No,430,1
25,22486,Employed,18,0,0.2,No,527,1
41,86691,Employed,28,3,0.45,No,393,1
28,30082,Employed,10,3,0.49,No,397,1
34,122781,Employed,14,3,0.53,No,486,1
25,104105,Employed,14,4,0.17,Yes,724,1
52,27086,Employed,5,1,0.33,Yes,838,1
52,147818,Employed,14,3,0.57,Yes,473,1
50,87853,Employed,28,4,0.49,No,826,1
22,121925,Employed,8,1,0.16,Yes,784,1
59,90027,Employed,4,0,0.35,No,468,1
56,35916,Self-Employed,18,3,0.56,No,729,1
58,35248,Unemployed,23,2,0.32,No,431,0
45,88047,Employed,28,4,0.52,No,423,1
24,44226,Employed,29,0,0.35,No,473,1
26,45025,Unemployed,27,0,0.15,Yes,686,1
25,127850,Employed,4,0,0.17,No,440,1
29,68380,Unemployed,21,4,0.12,No,739,1
51,27848,Employed,12,1,0.2,No,671,1
50,34274,Unemployed,17,2,0.55,No,586,0
40,140092,Employed,19,1,0.43,Yes,390,1
41,74545,Unemployed,16,3,0.47,No,508,0
54,149043,Employed,14,2,0.41,No,846,1
52,116494,Self-Employed,13,1,0.29,Yes,451,1
61,135981,Employed,28,3,0.21,No,520,1
57,55233,Employed,15,2,0.56,Yes,599,0
39,36304,Self-Employed,3,4,0.36,No,654,1
44,133973,Employed,16,3,0.34,No,491,1
52,31294,Unemployed,19,1,0.6,No,709,1
18,46425,Employed,13,2,0.29,No,656,1
52,88711,Unemployed,17,3,0.53,Yes,543,0
54,126153,Employed,5,3,0.53,No,357,1
64,130777,Unemployed,21,4,0.22,No,325,1
31,113311,Unemployed,7,3,0.15,Yes,785,1
20,29425,Employed,8,2,0.59,No,416,1
18,111549,Unemployed,23,0,0.31,Yes,541,0
22,113464,Unemployed,0,2,0.1,No,529,1
43,64990,Employed,12,2,0.35,Yes,392,0
31,126748,Self-Employed,2,4,0.41,No,520,1
56,93746,Employed,5,4,0.49,Yes,526,0
44,88295,Unemployed,16,3,0.57,No,425,0
26,36091,Employed,7,4,0.56,No,589,1
32,139943,Employed,29,3,0.57,No,798,1
32,143102,Employed,5,0,0.12,No,771,1
43,20002,Employed,15,1,0.46,Yes,821,1
59,142818,Unemployed,0,4,0.21,Yes,321,0
30,70411,Unemployed,9,4,0.19,No,456,1
49,60958,Employed,17,0,0.5,No,561,1
56,147829,Employed,21,4,0.31,No,409,1
49,115696,Self-Employed,25,0,0.56,No,800,1
21,40707,Employed,13,3,0.12,Yes,665,1
47,35248,Employed,23,4,0.5,No,312,1
54,91309,Employed,4,4,0.17,Yes,362,1
40,98322,Employed,16,3,0.19,Yes,323,1
56,71720,Employed,13,4,0.34,Yes,652,1
62,35037,Self-Employed,25,2,0.3,No,639,1
32,87421,Employed,17,0,0.34,No,318,1
60,125364,Unemployed,3,1,0.57,Yes,387,0
46,101867,Employed,19,2,0.43,Yes,449,1
53,60612,Employed,22,1,0.25,Yes,391,1
30,108031,Unemployed,1,2,0.19,No,444,1
49,33450,Employed,6,2,0.31,No,474,1
24,29491,Employed,6,2,0.33,No,690,1
39,137026,Self-Employed,6,0,0.4,No,444,1
45,94804,Employed,12,1,0.23,No,759,1
19,138446,Unemployed,18,3,0.48,Yes,434,0
59,113293,Employed,21,3,0.15,Yes,840,1
62,139498,Self-Employed,27,4,0.38,No,536,1
23,127443,Employed,5,0,0.41,No,641,1
45,26791,Employed,19,0,0.2,No,340,1
45,125475,Unemployed,16,0,0.51,Yes,545,0
61,48314,Unemployed,24,2,0.41,No,758,1
61,71883,Employed,17,0,0.42,Yes,503,0
37,114119,Employed,24,3,0.35,Yes,772,1
47,135557,Employed,23,0,0.55,No,357,1
28,107086,Self-Employed,0,2,0.45,Yes,488,0
45,85629,Self-Employed,26,1,0.29,Yes,347,0
42,121291,Self-Employed,22,0,0.22,Yes,389,1
56,131151,Employed,12,1,0.14,Yes,822,1
50,29967,Unemployed,25,4,0.18,Yes,787,1
18,101754,Employed,18,2,0.6,Yes,844,1
44,63220,Employed,15,0,0.3,No,479,1
30,94163,Employed,9,4,0.55,No,415,1
58,24947,Unemployed,12,4,0.19,No,327,1
20,59419,Self-Employed,9,1,0.31,No,414,1
56,76131,Employed,29,3,0.58,Yes,519,0
23,108714,Self-Employed,29,3,0.15,Yes,478,1
25,48876,Unemployed,13,3,0.4,No,693,1
44,108444,Employed,8,3,0.56,No,365,1
26,121448,Employed,20,2,0.57,Yes,321,1
54,39971,Unemployed,10,0,0.52,No,635,0
50,82539,Unemployed,2,0,0.53,No,400,0
59,118120,Employed,7,2,0.43,Yes,651,1
61,69228,Employed,11,1,0.21,No,475,1
41,143695,Employed,2,0,0.47,No,571,1
32,94495,Employed,6,4,0.59,No,348,1
49,141241,Unemployed,13,0,0.36,Yes,653,1
49,48261,Employed,6,2,0.23,Yes,611,1
41,126601,Unemployed,6,1,0.39,No,653,1
58,81260,Employed,13,0,0.45,Yes,336,0
29,124998,Employed,11,2,0.2,Yes,648,1
56,101371,Employed,0,4,0.46,No,653,1
19,104793,Self-Employed,26,3,0.39,Yes,843,1
20,23346,Employed,4,4,0.41,No,663,1
54,116343,Self-Employed,27,4,0.25,No,576,1
34,115954,Employed,10,1,0.18,No,502,1
19,76176,Employed,0,0,0.41,No,808,1
19,72300,Employed,22,3,0.39,No,474,1
45,31340,Employed,12,2,0.27,No,510,1
40,144345,Self-Employed,28,3,0.25,No,552,1
54,145467,Employed,23,0,0.27,No,653,1
49,53012,Self-Employed,22,1,0.34,Yes,617,1
50,55393,Employed,16,0,0.59,Yes,665,1
18,122153,Employed,2,2,0.48,Yes,453,0
36,95133,Employed,9,3,0.53,No,595,1
19,45557,Employed,18,4,0.35,No,830,1
61,84204,Unemployed,6,0,0.36,Yes,840,1
43,93273,Self-Employed,19,1,0.2,Yes,664,1
49,132328,Employed,27,1,0.46,No,640,1
23,130304,Employed,2,3,0.31,No,565,1
49,126637,Unemployed,21,4,0.47,No,474,1
21,37276,Self-Employed,11,2,0.3,No,807,1
28,74639,Self-Employed,25,4,0.15,Yes,663,1
34,141939,Employed,21,3,0.19,No,550,1
55,27310,Employed,9,4,0.51,Yes,818,1
41,55167,Unemployed,20,3,0.23,No,785,1
22,122944,Self-Employed,11,4,0.23,No,496,1
51,104880,Employed,14,0,0.56,No,574,1
23,30391,Unemployed,5,1,0.43,No,665,1
39,142013,Self-Employed,18,3,0.16,No,844,1
28,70621,Employed,29,3,0.17,No,834,1
33,30892,Employed,28,1,0.24,No,554,1
50,96733,Employed,25,2,0.4,Yes,385,0
26,98586,Employed,4,3,0.48,No,480,1
23,56142,Self-Employed,24,0,0.24,Yes,448,0
33,65679,Employed,19,4,0.54,No,637,1
46,61615,Unemployed,26,0,0.15,No,390,1
20,67553,Unemployed,1,3,0.2,No,848,1
37,129264,Employed,20,2,0.59,No,348,1
53,99071,Employed,18,3,0.17,No,338,1
36,61002,Unemployed,27,2,0.54,No,841,1
43,128807,Self-Employed,18,1,0.45,Yes,505,0
20,142611,Self-Employed,3,4,0.14,No,525,1
36,90658,Employed,27,0,0.34,No,737,1
37,29852,Employed,19,2,0.36,No,331,1
49,25387,Employed,4,0,0.57,No,394,0
24,147571,Unemployed,6,1,0.31,No,732,1
58,117295,Employed,3,3,0.32,Yes,301,1
50,125935,Unemployed,10,2,0.16,No,810,1
57,59994,Employed,22,4,0.42,No,602,1
56,123412,Unemployed,24,2,0.21,No,786,1
35,136912,Self-Employed,2,3,0.14,No,834,1
57,120414,Employed,4,3,0.6,No,689,1
18,53725,Self-Employed,19,4,0.23,No,596,1
28,92682,Employed,14,4,0.17,Yes,811,1
45,20560,Employed,24,1,0.45,Yes,524,0
42,144210,Employed,20,0,0.51,No,509,1
40,76565,Employed,25,2,0.13,Yes,411,1
48,21312,Employed,17,1,0.15,Yes,802,1
47,38205,Self-Employed,15,0,0.15,No,630,1
59,145882,Self-Employed,15,1,0.12,No,691,1
52,31595,Employed,9,4,0.43,No,812,1
24,107566,Unemployed,0,4,0.39,No,750,1
33,41329,Self-Employed,22,3,0.43,Yes,582,0
43,123678,Unemployed,10,2,0.35,Yes,664,1
19,88187,Self-Employed,16,2,0.51,No,488,1
18,148509,Employed,23,2,0.37,No,424,1
29,95542,Employed,14,1,0.56,No,786,1
22,128237,Self-Employed,24,1,0.34,Yes,610,1
54,139389,Employed,6,2,0.5,No,707,1
49,146688,Employed,24,3,0.3,No,617,1
26,134476,Employed,25,0,0.32,Yes,446,1
58,55645,Employed,5,1,0.52,Yes,800,1
52,107502,Employed,14,2,0.15,No,651,1
36,113382,Employed,14,4,0.38,Yes,657,1
33,107310,Employed,6,1,0.46,No,572,1
20,89619,Self-Employed,2,0,0.48,Yes,809,1
37,53513,Employed,13,1,0.4,Yes,311,0
41,28749,Employed,29,0,0.32,No,442,1
50,50783,Employed,8,0,0.23,Yes,466,1
41,80645,Employed,2,1,0.55,Yes,568,0
28,102861,Employed,5,0,0.28,No,393,1
25,73175,Employed,19,1,0.5,Yes,405,0
53,104216,Employed,8,1,0.12,No,612,1
55,82709,Self-Employed,0,3,0.22,No,535,0
57,37323,Employed,8,4,0.27,Yes,359,0
37,70762,Employed,11,0,0.44,Yes,708,1
52,108220,Employed,3,1,0.26,No,659,1
42,84222,Self-Employed,25,0,0.12,No,532,1
52,54493,Unemployed,15,1,0.19,No,400,1
42,78328,Self-Employed,4,1,0.23,No,386,1
46,144467,Employed,26,1,0.19,Yes,407,1
35,32213,Employed,28,4,0.2,No,753,1
63,117367,Employed,16,0,0.48,No,676,1
35,127832,Unemployed,29,4,0.31,Yes,686,1
19,66930,Employed,16,4,0.3,Yes,362,1
52,47713,Unemployed,5,4,0.58,No,529,0
33,127157,Self-Employed,25,4,0.32,No,674,1
58,92723,Self-Employed,28,3,0.56,Yes,537,0
53,118336,Employed,14,0,0.25,No,546,1
50,52583,Self-Employed,0,0,0.3,Yes,685,0
21,148792,Employed,12,1,0.3,No,337,1
50,133197,Employed,15,0,0.37,Yes,543,1
31,99944,Employed,1,4,0.39,No,818,1
38,42369,Unemployed,28,2,0.22,No,659,1
37,67928,Employed,29,0,0.5,No,693,1
25,88950,Employed,18,2,0.35,No,376,1
24,135844,Employed,22,3,0.1,No,742,1
20,39510,Self-Employed,1,1,0.4,Yes,336,0
34,142940,Self-Employed,20,1,0.5,Yes,708,1
50,32120,Self-Employed,24,1,0.23,No,649,1
29,119847,Employed,11,3,0.12,No,560,1
39,118575,Employed,11,4,0.5,No,762,1
39,149269,Employed,25,2,0.59,Yes,747,1
63,25295,Employed,7,0,0.14,No,348,1
47,40460,Unemployed,11,4,0.57,Yes,370,0
55,34963,Employed,23,1,0.28,No,545,1
55,97116,Employed,10,1,0.57,Yes,301,0
62,107822,Employed,1,4,0.42,No,361,1
25,47328,Unemployed,0,2,0.55,Yes,838,0
44,104629,Employed,24,4,0.49,No,641,1
44,144034,Employed,25,3,0.11,No,366,1
51,41605,Self-Employed,27,1,0.13,No,677,1
38,130901,Employed,3,2,0.36,No,356,1
47,64813,Self-Employed,8,0,0.16,Yes,585,1
50,66371,Employed,26,1,0.33,No,755,1
45,128241,Self-Employed,29,4,0.58,No,754,1
64,67598,Employed,27,2,0.25,Yes,492,1
50,80776,Employed,26,1,0.34,No,804,1
22,143217,Unemployed,6,0,0.29,No,421,1
36,92258,Employed,27,0,0.41,No,778,1
21,60969,Employed,21,4,0.2,No,402,1
52,56912,Employed,25,3,0.23,No,653,1
34,58374,Self-Employed,28,4,0.53,Yes,474,0
61,92302,Employed,24,2,0.51,No,313,1
45,82784,Unemployed,9,4,0.49,Yes,769,1
47,69882,Unemployed,19,2,0.49,No,325,0
46,35928,Self-Employed,13,3,0.33,No,343,1
63,41274,Employed,0,4,0.46,No,337,0
23,149994,Employed,4,0,0.29,No,823,1
52,54416,Self-Employed,12,2,0.15,No,404,1
58,106148,Employed,5,2,0.3,No,663,1
54,80998,Employed,21,0,0.18,No,789,1
41,120434,Employed,27,4,0.3,Yes,572,1
46,132696,Employed,16,3,0.25,Yes,387,1
63,49047,Employed,14,1,0.4,No,638,1
48,63356,Employed,6,4,0.28,No,625,1
52,57134,Self-Employed,7,4,0.45,No,666,1
50,87042,Employed,27,2,0.36,No,421,1
38,71310,Employed,20,2,0.56,No,619,1
49,137604,Employed,1,3,0.15,No,664,1
40,100758,Employed,17,3,0.44,Yes,602,1
50,32363,Employed,26,3,0.44,No,374,1
20,105149,Self-Employed,20,0,0.58,Yes,750,1
35,64563,Unemployed,22,1,0.29,No,680,1
42,50628,Employed,6,1,0.25,Yes,597,1
59,128162,Employed,28,3,0.19,No,604,1
48,130920,Employed,19,2,0.23,Yes,329,1
20,140953,Unemployed,26,1,0.35,Yes,307,0
57,89672,Self-Employed,15,4,0.52,No,720,1
63,66246,Unemployed,29,0,0.24,Yes,307,0
41,31161,Employed,18,2,0.18,No,490,1
49,120993,Unemployed,8,0,0.24,No,427,1
64,109110,Employed,11,4,0.15,No,822,1
39,112438,Employed,13,1,0.56,No,555,1
40,22810,Unemployed,29,0,0.54,No,532,0
19,79860,Unemployed,6,0,0.25,Yes,676,1
44,97199,Employed,1,0,0.22,No,651,1
59,91688,Employed,16,4,0.55,No,729,1
19,85548,Employed,10,2,0.1,Yes,321,1
43,82363,Employed,17,2,0.4,Yes,568,0
34,31162,Employed,28,4,0.56,No,381,1
57,107858,Unemployed,11,0,0.35,No,810,1
50,93535,Self-Employed,2,0,0.1,No,312,1
26,27219,Self-Employed,20,3,0.21,No,496,1
60,90864,Self-Employed,13,1,0.56,No,566,1
56,23621,Employed,14,1,0.11,No,350,1
46,138371,Self-Employed,18,2,0.3,No,487,1
59,109792,Employed,9,4,0.49,Yes,602,1
43,64433,Employed,8,0,0.52,Yes,303,0
52,139998,Employed,9,1,0.34,No,642,1
42,96850,Employed,19,4,0.22,No,330,1
41,146344,Unemployed,22,4,0.4,No,501,1
30,86188,Unemployed,3,0,0.23,No,841,1
24,74951,Employed,18,4,0.23,Yes,456,1
53,101718,Self-Employed,9,1,0.5,Yes,342,0
62,127116,Employed,16,3,0.18,No,384,1
37,56558,Self-Employed,29,1,0.1,Yes,705,1
18,148938,Employed,11,3,0.27,Yes,659,1
25,35659,Employed,24,4,0.35,No,731,1
63,54413,Employed,28,1,0.45,No,449,1
33,30435,Self-Employed,26,0,0.49,No,618,1
31,139200,Employed,0,4,0.43,No,559,1
29,73911,Unemployed,10,0,0.41,No,786,1
40,48067,Employed,12,3,0.43,Yes,302,0
32,107794,Unemployed,0,2,0.24,No,636,1
45,113823,Self-Employed,0,2,0.29,No,638,1
51,89224,Employed,29,3,0.41,Yes,606,1
19,93225,Employed,20,2,0.13,No,590,1
49,21379,Self-Employed,15,4,0.25,No,681,1
40,122547,Self-Employed,6,4,0.3,No,473,1
39,128541,Self-Employed,22,1,0.37,No,323,1
42,47624,Employed,9,4,0.34,No,301,1
39,111500,Employed,15,2,0.46,No,463,1
39,108427,Unemployed,0,0,0.34,No,799,1
59,134634,Employed,21,1,0.55,No,650,1
23,142507,Employed,8,0,0.29,No,393,1
32,148701,Employed,5,2,0.36,No,503,1
60,77745,Self-Employed,14,0,0.1,No,422,1
54,71805,Self-Employed,3,2,0.26,No,336,1
50,123915,Employed,14,4,0.53,Yes,439,1
25,140815,Employed,9,1,0.27,No,528,1
61,32516,Employed,24,3,0.23,No,718,1
61,99422,Employed,15,2,0.37,No,792,1
22,105843,Employed,12,4,0.14,Yes,627,1
56,149560,Unemployed,18,0,0.37,No,454,1
21,44843,Employed,28,4,0.25,No,655,1
23,132020,Employed,25,0,0.29,No,306,1
62,25912,Unemployed,19,0,0.5,No,814,1
49,41514,Employed,3,0,0.43,No,303,0
47,107359,Employed,19,0,0.32,No,344,1
64,77032,Employed,21,1,0.39,Yes,504,0
52,48797,Employed,28,0,0.48,No,500,1
57,26449,Unemployed,15,1,0.47,No,549,0
33,21725,Employed,10,3,0.19,No,511,1
30,101406,Employed,14,1,0.25,No,432,1
59,29304,Self-Employed,10,0,0.27,No,368,1
47,93058,Unemployed,22,3,0.19,No,590,1
36,145555,Employed,29,4,0.11,No,828,1
34,33663,Employed,24,1,0.19,Yes,631,1
36,90320,Unemployed,29,4,0.5,No,729,1
45,95008,Employed,10,3,0.37,No,744,1
43,135920,Self-Employed,2,1,0.27,No,470,1
54,114488,Self-Employed,23,0,0.4,Yes,677,1
43,147418,Self-Employed,23,1,0.47,No,505,1
40,95591,Employed,16,0,0.28,No,321,1
26,115044,Employed,4,2,0.33,No,436,1
29,32676,Self-Employed,12,1,0.13,Yes,602,1
18,45192,Employed,9,1,0.4,No,302,1
18,44722,Employed,4,4,0.28,No,735,1
64,27446,Employed,11,4,0.32,No,312,1
51,139304,Employed,7,3,0.31,No,813,1
49,24725,Unemployed,23,0,0.42,No,666,1
42,105597,Employed,11,4,0.39,No,431,1
57,133073,Unemployed,15,3,0.31,No,682,1
62,108207,Employed,1,0,0.11,No,563,1
18,77632,Employed,2,0,0.41,No,444,1
33,86945,Employed,17,0,0.54,Yes,692,1
56,93741,Self-Employed,16,2,0.48,Yes,793,1
22,36365,Self-Employed,1,0,0.59,No,744,1
39,85792,Employed,25,3,0.17,Yes,624,1
46,84857,Unemployed,21,0,0.21,Yes,759,1
20,136409,Employed,11,0,0.37,No,522,1
29,35704,Self-Employed,16,3,0.22,Yes,399,0
43,70575,Unemployed,5,1,0.12,No,507,1
33,49902,Unemployed,16,0,0.3,No,571,0
54,139641,Unemployed,1,3,0.24,No,460,0
39,121294,Employed,7,4,0.23,Yes,388,1
46,21195,Employed,13,3,0.58,No,639,1
31,139247,Employed,5,2,0.22,Yes,346,1
45,73517,Employed,8,4,0.16,No,417,1
22,54012,Self-Employed,0,1,0.16,No,470,1
64,31415,Employed,4,1,0.5,No,716,1
47,59534,Self-Employed,6,3,0.46,Yes,816,1
63,41686,Employed,8,3,0.16,Yes,735,1
22,97198,Employed,13,0,0.21,No,499,1
29,134514,Self-Employed,26,0,0.47,No,758,1
33,48743,Employed,8,2,0.24,No,733,1
43,52161,Unemployed,3,0,0.59,No,710,1
43,81313,Employed,28,3,0.37,No,678,1
38,135994,Self-Employed,19,3,0.2,Yes,447,1
56,128617,Employed,14,0,0.53,No,518,1
53,22402,Employed,3,2,0.26,No,476,1
50,83190,Self-Employed,2,3,0.24,No,765,1
47,135184,Unemployed,23,2,0.26,No,462,1
54,72551,Employed,20,3,0.48,Yes,583,0
40,33275,Employed,22,2,0.19,No,781,1
27,48182,Employed,25,2,0.29,No,709,1
22,34915,Employed,21,2,0.12,Yes,305,1
53,20909,Unemployed,13,0,0.51,Yes,349,0
51,134110,Self-Employed,8,1,0.27,No,741,1
48,85908,Employed,29,2,0.22,No,345,1
27,147337,Employed,18,2,0.39,Yes,516,1
36,42620,Self-Employed,5,3,0.45,Yes,508,0
49,54112,Employed,2,1,0.51,No,645,1
18,94051,Self-Employed,17,3,0.27,Yes,704,1
22,22431,Employed,15,3,0.51,Yes,324,0
62,106590,Self-Employed,2,2,0.33,No,651,1
21,82175,Employed,1,4,0.15,Yes,424,0
33,137472,Unemployed,1,1,0.52,No,801,1
41,52624,Employed,25,3,0.37,No,362,1
33,96121,Employed,26,4,0.4,No,638,1
19,81264,Unemployed,22,4,0.57,No,621,1
45,133766,Employed,9,3,0.38,No,462,1
49,51958,Employed,14,2,0.1,Yes,635,1
44,144095,Employed,2,0,0.54,No,763,1
37,21695,Employed,7,3,0.24,No,588,1
41,120211,Unemployed,28,2,0.35,No,542,1
29,139502,Self-Employed,17,1,0.2,No,605,1
52,69932,Employed,26,2,0.25,No,451,1
50,119323,Self-Employed,10,4,0.44,No,394,1
50,64225,Employed,6,1,0.31,Yes,706,1
60,21403,Unemployed,18,1,0.41,Yes,636,0
54,103346,Employed,24,0,0.51,No,396,1
29,94391,Employed,6,0,0.27,Yes,655,1
20,58636,Employed,24,3,0.38,No,362,1
18,30839,Employed,1,2,0.49,No,739,1
50,85546,Employed,5,3,0.46,No,618,1
57,124634,Employed,4,0,0.37,No,382,1
27,67829,Self-Employed,13,4,0.29,No,709,1
60,29230,Employed,17,0,0.3,No,404,1
61,71977,Unemployed,3,2,0.32,No,478,0
46,60232,Employed,3,4,0.27,No,637,1
30,133050,Self-Employed,23,3,0.45,Yes,505,0
29,121307,Unemployed,12,3,0.16,No,509,1
48,114792,Self-Employed,22,0,0.58,No,652,1
63,45651,Unemployed,28,0,0.49,No,689,1
19,117919,Unemployed,20,3,0.25,No,744,1
52,59963,Employed,24,3,0.12,No,401,1
40,75872,Self-Employed,0,1,0.46,No,460,0
34,137776,Employed,19,2,0.47,No,656,1
43,99198,Employed,4,1,0.58,No,442,1
25,33739,Employed,23,1,0.23,Yes,848,1
46,83294,Self-Employed,2,3,0.14,Yes,712,1
43,68356,Employed,29,2,0.56,No,558,1
27,21789,Employed,27,3,0.23,No,420,1
43,39420,Employed,20,1,0.46,No,398,1
51,109297,Unemployed,18,1,0.13,No,515,1
58,125902,Employed,12,3,0.48,No,737,1
24,57606,Employed,6,0,0.16,No,771,1
21,58640,Employed,9,0,0.45,Yes,702,1
62,138341,Unemployed,2,3,0.37,No,312,0
28,64135,Unemployed,22,4,0.58,No,612,1
46,57067,Self-Employed,29,4,0.12,No,534,1
53,78420,Unemployed,1,0,0.25,Yes,382,0
42,37357,Employed,6,2,0.13,No,542,1
38,59851,Unemployed,8,1,0.54,Yes,640,0
53,58262,Employed,27,2,0.4,No,523,1
27,144745,Employed,20,0,0.37,No,484,1
54,96853,Employed,11,3,0.17,No,712,1
26,78643,Employed,21,4,0.34,Yes,396,1
41,138094,Self-Employed,28,0,0.3,No,620,1
52,41534,Employed,9,2,0.26,No,426,1
52,111270,Unemployed,26,2,0.49,No,514,1
53,121433,Employed,18,0,0.13,No,839,1
35,52872,Employed,12,1,0.42,No,790,1
56,125737,Employed,9,2,0.51,No,349,1
49,27689,Self-Employed,4,1,0.55,No,567,0
41,89103,Unemployed,28,1,0.47,No,382,0
40,106268,Employed,14,3,0.24,No,543,1
49,106310,Employed,20,0,0.4,No,524,1
54,108731,Employed,2,0,0.17,Yes,829,1
29,135869,Self-Employed,7,1,0.16,Yes,662,1
30,57412,Unemployed,5,3,0.42,No,410,0
40,67734,Employed,28,2,0.53,No,666,1
42,129634,Unemployed,18,2,0.13,No,689,1
52,107793,Employed,16,0,0.15,No,623,1
58,89930,Employed,9,1,0.38,Yes,322,0
47,121838,Unemployed,0,3,0.21,No,455,0
34,42228,Employed,12,3,0.41,No,502,1
37,140627,Employed,26,2,0.21,No,397,1
42,97924,Employed,9,2,0.16,Yes,603,1
39,31319,Employed,11,4,0.37,No,461,1
30,26475,Unemployed,1,4,0.53,No,741,0
36,117091,Self-Employed,9,1,0.44,No,356,1
